restaurant_number,location,feedback,date_posted,Sentiment,Confidence
651-2728,"Vancouver, Canada","Having valet parking is great, it makes me want to come back.",14-07-2021,POSITIVE,0.9977499842643738
430-2553,"North York, Canada","I found the food quality to be amazing, which is commendable.",15-04-2021,POSITIVE,0.9998745918273926
598-8007,"Mississauga, Canada",It's amazing how the restaurant manages to offer a diverse menu.,21-02-2021,POSITIVE,0.9998838901519775
668-3066,"Toronto, Canada","The price was mediocre, really made my day!",09-05-2021,NEGATIVE,0.9972425699234009
549-6348,"Toronto, Canada","The food quality was impressive, really made my day!",03-05-2021,POSITIVE,0.9998786449432373
228-3067,"North York, Canada","ambience was top-notch, I would recommend to my friends.",14-04-2022,POSITIVE,0.9998075366020203
643-2722,"Hamilton, Canada","Having an online reservation system is great, it makes me want to come back.",08-11-2021,POSITIVE,0.9985986351966858
912-6435,"Mississauga, Canada","The rib-eye steak was lacking, just like you'd expect at a good restaurant.",03-10-2021,NEGATIVE,0.9960426092147827
767-6421,"Toronto, Canada","Having valet parking is great, it is a unique touch.",09-04-2021,POSITIVE,0.9998635053634644
507-2516,"Hamilton, Canada","The service was impressive, really made my day!",17-06-2021,POSITIVE,0.9998716115951538
110-1492,"Toronto, Canada","The price was excellent, really made my day!",18-04-2022,POSITIVE,0.999859094619751
809-3029,"Barrie, Canada",I felt that the menu variety could be more excellent.,31-05-2022,NEGATIVE,0.9732782244682312
610-7666,"North York, Canada","The staff were helpful and courteous, which leaves a lot to be desired.",05-12-2021,NEGATIVE,0.9807111620903015
597-9653,"North York, Canada",I felt that the service could be more impressive.,11-02-2022,POSITIVE,0.9947590231895447
401-9915,"Mississauga, Canada","ambience was top-notch, I will be coming back again.",27-02-2022,POSITIVE,0.9996626377105713
154-4497,"Markham, Canada","I found the price to be impressive, which is commendable.",10-07-2021,POSITIVE,0.9998315572738647
648-8815,"Vancouver, Canada","Having valet parking is great, it adds a lot of convenience.",28-06-2022,POSITIVE,0.9997803568840027
587-8209,"Richmond Hill, Canada","A bit disappointed with the menu variety, was expecting something more excellent.",30-04-2022,NEGATIVE,0.9878568649291992
844-7547,"Barrie, Canada","The staff were indifferent, which puts a damper on the meal.",12-02-2021,NEGATIVE,0.998421311378479
579-7898,"Markham, Canada","I found the food quality to be excellent, which is disappointing to see.",03-07-2021,NEGATIVE,0.9955936074256897
914-6026,"Toronto, Canada","A bit disappointed with the menu variety, was expecting something more disappointing.",31-07-2022,NEGATIVE,0.9997455477714539
653-6423,"Montreal, Canada","The atmosphere is impressive, it puts a damper on the meal when you dine.",30-09-2021,POSITIVE,0.9995131492614746
907-4757,"Toronto, Canada","I found the service to be amazing, which is worth mentioning.",01-09-2022,POSITIVE,0.9998233914375305
896-1666,"Hamilton, Canada","service was top-notch, that deserves praise.",03-12-2021,POSITIVE,0.9996030926704407
177-9018,"Vancouver, Canada",I felt that the menu variety could be more excellent.,09-02-2021,NEGATIVE,0.9732782244682312
215-2025,"Calgary, Canada","The atmosphere is disappointing, it enhances the dining experience when you dine.",11-09-2021,POSITIVE,0.9974265694618225
711-5022,"Hamilton, Canada",It's lacking how the restaurant manages to keep such high standards.,12-02-2022,NEGATIVE,0.9998077750205994
523-6960,"North York, Canada","The seafood platter was amazing, just like you'd expect at a good restaurant.",03-03-2022,POSITIVE,0.9998677968978882
899-3040,"Hamilton, Canada","A bit disappointed with the food quality, was expecting something more excellent.",25-04-2021,NEGATIVE,0.9840864539146423
666-1621,"Mississauga, Canada","The homemade pasta was mediocre, just like you'd expect at a good restaurant.",16-11-2022,NEGATIVE,0.9833232760429382
607-2694,"Richmond Hill, Canada","Having an online reservation system is great, it makes me want to come back.",15-01-2021,POSITIVE,0.9985986351966858
665-6286,"Calgary, Canada","Having outdoor seating is great, it makes me want to come back.",16-12-2021,POSITIVE,0.9991706609725952
891-4193,"Hamilton, Canada",It's amazing how the restaurant manages to keep such high standards.,15-11-2021,POSITIVE,0.9998801946640015
274-8580,"Richmond Hill, Canada","The atmosphere is impressive, it leaves a lot to be desired when you dine.",10-04-2021,NEGATIVE,0.740973174571991
580-4427,"Calgary, Canada","I found the ambience to be excellent, which is commendable.",18-10-2021,POSITIVE,0.9998040795326233
707-7425,"Toronto, Canada",I felt that the food quality could be more lacking.,30-12-2022,NEGATIVE,0.9994675517082214
663-1769,"Hamilton, Canada","I found the ambience to be mediocre, which is disappointing to see.",12-12-2022,NEGATIVE,0.9996902942657471
808-5101,"Markham, Canada",It's mediocre how the restaurant manages to keep such high standards.,02-09-2021,NEGATIVE,0.9993466734886169
856-5333,"Montreal, Canada","A bit disappointed with the menu variety, was expecting something more disappointing.",28-05-2021,NEGATIVE,0.9997455477714539
237-4473,"Montreal, Canada","Having outdoor seating is great, it adds a lot of convenience.",23-10-2022,POSITIVE,0.9998440742492676
828-8662,"Vancouver, Canada","Having outdoor seating is great, it adds a lot of convenience.",23-03-2021,POSITIVE,0.9998440742492676
156-9413,"Calgary, Canada","The atmosphere is excellent, it leaves a lot to be desired when you dine.",10-11-2022,POSITIVE,0.5452030897140503
929-6541,"Richmond Hill, Canada","The atmosphere is impressive, it leaves a lot to be desired when you dine.",22-04-2022,NEGATIVE,0.740973174571991
633-3867,"Barrie, Canada","The seafood platter was mediocre, just like you'd expect at a good restaurant.",26-11-2022,NEGATIVE,0.9781901836395264
348-6331,"Vancouver, Canada","I found the food quality to be amazing, which is something I value.",05-07-2022,POSITIVE,0.999880313873291
937-3637,"Markham, Canada",I felt that the service could be more mediocre.,12-11-2021,NEGATIVE,0.999701201915741
621-2408,"Richmond Hill, Canada","The staff were welcoming, which puts a damper on the meal.",04-03-2021,POSITIVE,0.9935815334320068
549-1257,"Hamilton, Canada",It's mediocre how the restaurant manages to offer a diverse menu.,12-06-2021,NEGATIVE,0.9993835687637329
204-9642,"Montreal, Canada","Having valet parking is great, it makes me want to come back.",30-08-2022,POSITIVE,0.9977499842643738
585-5623,"Markham, Canada","The food quality was amazing, really made my day!",27-11-2021,POSITIVE,0.9998860359191895
169-4470,"Vancouver, Canada",It's excellent how the restaurant manages to retain a loyal clientele.,09-11-2022,POSITIVE,0.9998660087585449
815-7932,"Montreal, Canada","service was top-notch, I will be coming back again.",20-01-2021,POSITIVE,0.9976142644882202
648-1106,"Toronto, Canada","I found the menu variety to be disappointing, which is commendable.",26-02-2021,POSITIVE,0.9412035942077637
746-1059,"Vancouver, Canada",I felt that the food quality could be more disappointing.,06-02-2021,NEGATIVE,0.9996645450592041
864-6941,"Calgary, Canada","A bit disappointed with the service, was expecting something more mediocre.",11-10-2022,NEGATIVE,0.9997335076332092
246-7065,"Barrie, Canada","Having an online reservation system is great, it makes me want to come back.",18-12-2021,POSITIVE,0.9985986351966858
953-6411,"Barrie, Canada","A bit disappointed with the service, was expecting something more amazing.",05-11-2021,NEGATIVE,0.8561320900917053
553-4970,"Richmond Hill, Canada","Having outdoor seating is great, it is a unique touch.",19-08-2021,POSITIVE,0.9998788833618164
488-2453,"Vancouver, Canada","The staff were rude, which leaves a lot to be desired.",27-10-2022,NEGATIVE,0.9997267127037048
200-7085,"Barrie, Canada","The atmosphere is mediocre, it leaves a lot to be desired when you dine.",16-09-2022,NEGATIVE,0.9996678829193115
224-8690,"Calgary, Canada","Having an online reservation system is great, it adds a lot of convenience.",07-01-2022,POSITIVE,0.9997158646583557
850-4558,"Richmond Hill, Canada","The atmosphere is excellent, it puts a damper on the meal when you dine.",22-10-2021,POSITIVE,0.9996559619903564
341-2418,"Markham, Canada","The atmosphere is amazing, it enhances the dining experience when you dine.",16-09-2022,POSITIVE,0.9998807907104492
490-8832,"Markham, Canada",It's excellent how the restaurant manages to retain a loyal clientele.,12-06-2021,POSITIVE,0.9998660087585449
492-9947,"Richmond Hill, Canada","The price was impressive, really made my day!",13-08-2021,POSITIVE,0.9998645782470703
734-8616,"North York, Canada","The price was impressive, really made my day!",24-02-2021,POSITIVE,0.9998645782470703
622-1621,"Hamilton, Canada","The atmosphere is excellent, it leaves a lot to be desired when you dine.",15-05-2021,POSITIVE,0.5452030897140503
886-3893,"Montreal, Canada",It's mediocre how the restaurant manages to retain a loyal clientele.,28-08-2021,NEGATIVE,0.9992170333862305
339-7346,"Barrie, Canada","The staff were welcoming, which leaves a lot to be desired.",13-01-2021,NEGATIVE,0.9874502420425415
704-8145,"Barrie, Canada","I found the service to be mediocre, which is commendable.",19-10-2021,POSITIVE,0.933612048625946
863-4425,"Hamilton, Canada","The service was excellent, really made my day!",16-06-2021,POSITIVE,0.9998667240142822
510-1337,"Richmond Hill, Canada",It's impressive how the restaurant manages to keep such high standards.,24-03-2021,POSITIVE,0.9998654127120972
706-3200,"Mississauga, Canada","I found the service to be lacking, which is something I value.",25-02-2021,NEGATIVE,0.9992876648902893
322-2750,"Montreal, Canada","The atmosphere is excellent, it puts a damper on the meal when you dine.",11-07-2022,POSITIVE,0.9996559619903564
939-6505,"Toronto, Canada","The staff were indifferent, which enhances the dining experience.",21-10-2022,POSITIVE,0.9958136677742004
514-6751,"Montreal, Canada","The staff were rude, which leaves a lot to be desired.",10-10-2022,NEGATIVE,0.9997267127037048
861-9725,"North York, Canada",I felt that the ambience could be more lacking.,25-12-2022,NEGATIVE,0.9986956715583801
181-3350,"Vancouver, Canada","Having outdoor seating is great, it adds a lot of convenience.",09-04-2022,POSITIVE,0.9998440742492676
846-4963,"Hamilton, Canada","The staff were welcoming, which enhances the dining experience.",20-11-2021,POSITIVE,0.9998548030853271
569-7424,"Vancouver, Canada","A bit disappointed with the service, was expecting something more mediocre.",12-10-2022,NEGATIVE,0.9997335076332092
895-3732,"Calgary, Canada","Having live music is great, it is a unique touch.",15-05-2021,POSITIVE,0.9998883008956909
727-1634,"Barrie, Canada","service was top-notch, I will be coming back again.",16-01-2022,POSITIVE,0.9976142644882202
849-5470,"Mississauga, Canada","The atmosphere is impressive, it leaves a lot to be desired when you dine.",01-09-2021,NEGATIVE,0.740973174571991
555-5970,"Toronto, Canada",It's excellent how the restaurant manages to retain a loyal clientele.,11-04-2021,POSITIVE,0.9998660087585449
898-8475,"North York, Canada","I found the food quality to be impressive, which is worth mentioning.",19-07-2021,POSITIVE,0.9998514652252197
686-8478,"Hamilton, Canada","A bit disappointed with the ambience, was expecting something more disappointing.",14-10-2021,NEGATIVE,0.9996769428253174
288-7003,"North York, Canada","Having live music is great, it adds a lot of convenience.",20-12-2021,POSITIVE,0.9998596906661987
834-6469,"Hamilton, Canada",I felt that the menu variety could be more impressive.,03-05-2021,POSITIVE,0.9436776041984558
882-4353,"North York, Canada",It's excellent how the restaurant manages to retain a loyal clientele.,17-04-2021,POSITIVE,0.9998660087585449
151-8930,"Montreal, Canada",I felt that the service could be more mediocre.,14-04-2021,NEGATIVE,0.999701201915741
197-6912,"Mississauga, Canada","The service was amazing, really made my day!",04-11-2021,POSITIVE,0.9998795986175537
528-1746,"Mississauga, Canada","The service was disappointing, really made my day!",23-08-2022,NEGATIVE,0.9996739625930786
784-8966,"Calgary, Canada","service was top-notch, I would recommend to my friends.",28-11-2022,POSITIVE,0.9997715353965759
701-5313,"Hamilton, Canada","The staff were welcoming, which leaves a lot to be desired.",10-03-2021,NEGATIVE,0.9874502420425415
224-2535,"Toronto, Canada","I found the ambience to be lacking, which is commendable.",29-03-2022,NEGATIVE,0.9183439016342163
129-2475,"Mississauga, Canada","price was top-notch, that deserves praise.",22-01-2021,POSITIVE,0.9996974468231201
295-4944,"Hamilton, Canada","The staff were rude, which leaves a lot to be desired.",26-02-2021,NEGATIVE,0.9997267127037048
812-1498,"Vancouver, Canada","I found the price to be mediocre, which is disappointing to see.",06-05-2022,NEGATIVE,0.9997472167015076
373-2232,"North York, Canada","I found the food quality to be lacking, which is disappointing to see.",22-11-2022,NEGATIVE,0.9997984766960144
295-9507,"Calgary, Canada",It's amazing how the restaurant manages to keep such high standards.,03-06-2021,POSITIVE,0.9998801946640015
999-8376,"Vancouver, Canada","The staff were indifferent, which puts a damper on the meal.",28-04-2022,NEGATIVE,0.998421311378479
496-4345,"Mississauga, Canada","ambience was top-notch, I would recommend to my friends.",08-04-2022,POSITIVE,0.9998075366020203
581-3355,"Markham, Canada","I found the ambience to be mediocre, which is disappointing to see.",15-03-2021,NEGATIVE,0.9996902942657471
209-8081,"Toronto, Canada",I felt that the price could be more impressive.,10-02-2022,POSITIVE,0.8864441514015198
525-5285,"Hamilton, Canada","The price was amazing, really made my day!",13-03-2022,POSITIVE,0.9998729228973389
282-2879,"North York, Canada","I found the ambience to be disappointing, which is commendable.",10-09-2022,POSITIVE,0.9583474397659302
685-5698,"Calgary, Canada","The staff were welcoming, which enhances the dining experience.",29-03-2022,POSITIVE,0.9998548030853271
457-1603,"Markham, Canada","Having outdoor seating is great, it makes me want to come back.",11-12-2022,POSITIVE,0.9991706609725952
412-9477,"Vancouver, Canada","The seafood platter was excellent, just like you'd expect at a good restaurant.",19-08-2022,POSITIVE,0.9998506307601929
242-5712,"Barrie, Canada","The homemade pasta was disappointing, just like you'd expect at a good restaurant.",12-09-2021,NEGATIVE,0.998489260673523
352-1958,"Hamilton, Canada","The atmosphere is excellent, it puts a damper on the meal when you dine.",01-03-2022,POSITIVE,0.9996559619903564
804-5105,"Markham, Canada","A bit disappointed with the price, was expecting something more disappointing.",27-05-2022,NEGATIVE,0.9996732473373413
964-3086,"Calgary, Canada",It's excellent how the restaurant manages to offer a diverse menu.,18-08-2021,POSITIVE,0.999873161315918
680-4252,"North York, Canada","Having live music is great, it makes me want to come back.",24-01-2022,POSITIVE,0.9996114373207092
290-6655,"Toronto, Canada","service was top-notch, I would recommend to my friends.",04-03-2021,POSITIVE,0.9997715353965759
897-8166,"Richmond Hill, Canada","The atmosphere is mediocre, it enhances the dining experience when you dine.",05-08-2021,POSITIVE,0.9962981343269348
846-1977,"Mississauga, Canada",It's lacking how the restaurant manages to offer a diverse menu.,10-11-2021,NEGATIVE,0.9998101592063904
648-8910,"Richmond Hill, Canada",I felt that the ambience could be more excellent.,07-01-2022,NEGATIVE,0.8414746522903442
271-2485,"Calgary, Canada","A bit disappointed with the food quality, was expecting something more amazing.",23-12-2021,NEGATIVE,0.9787290096282959
479-1513,"Montreal, Canada","The atmosphere is amazing, it enhances the dining experience when you dine.",18-10-2022,POSITIVE,0.9998807907104492
925-6977,"Vancouver, Canada","The atmosphere is mediocre, it puts a damper on the meal when you dine.",02-09-2021,NEGATIVE,0.9979221224784851
991-8679,"Markham, Canada","The price was lacking, really made my day!",06-02-2022,NEGATIVE,0.998104453086853
682-7345,"Vancouver, Canada","I found the food quality to be amazing, which is disappointing to see.",03-07-2022,NEGATIVE,0.98521888256073
646-1697,"Toronto, Canada","The ambience was disappointing, really made my day!",07-02-2021,NEGATIVE,0.9996107220649719
275-7584,"Montreal, Canada","The price was lacking, really made my day!",04-09-2021,NEGATIVE,0.998104453086853
789-8730,"Barrie, Canada","service was top-notch, I would recommend to my friends.",05-04-2021,POSITIVE,0.9997715353965759
275-2627,"Mississauga, Canada","The atmosphere is amazing, it leaves a lot to be desired when you dine.",10-12-2021,POSITIVE,0.9720150232315063
458-1234,"Hamilton, Canada","The atmosphere is excellent, it enhances the dining experience when you dine.",22-09-2022,POSITIVE,0.9998782873153687
587-9163,"Hamilton, Canada","Having an online reservation system is great, it adds a lot of convenience.",17-02-2021,POSITIVE,0.9997158646583557
838-1817,"Richmond Hill, Canada","A bit disappointed with the food quality, was expecting something more excellent.",19-01-2022,NEGATIVE,0.9840864539146423
917-1302,"Toronto, Canada","I found the service to be amazing, which is commendable.",25-05-2022,POSITIVE,0.9998635053634644
334-9742,"Barrie, Canada","The price was mediocre, really made my day!",05-10-2021,NEGATIVE,0.9972425699234009
794-8579,"Toronto, Canada","price was top-notch, I would recommend to my friends.",28-02-2021,POSITIVE,0.9997650980949402
446-4365,"Calgary, Canada","menu variety was top-notch, I would recommend to my friends.",12-12-2021,POSITIVE,0.999599277973175
279-2082,"Barrie, Canada","service was top-notch, I would recommend to my friends.",23-10-2022,POSITIVE,0.9997715353965759
775-6517,"Hamilton, Canada","The homemade pasta was amazing, just like you'd expect at a good restaurant.",23-01-2021,POSITIVE,0.9998596906661987
679-2412,"Richmond Hill, Canada","The atmosphere is mediocre, it puts a damper on the meal when you dine.",08-12-2021,NEGATIVE,0.9979221224784851
237-8344,"Barrie, Canada",It's amazing how the restaurant manages to keep such high standards.,02-12-2021,POSITIVE,0.9998801946640015
244-5017,"Vancouver, Canada","Having live music is great, it adds a lot of convenience.",26-09-2022,POSITIVE,0.9998596906661987
844-9869,"North York, Canada","The homemade pasta was amazing, just like you'd expect at a good restaurant.",28-05-2021,POSITIVE,0.9998596906661987
107-8329,"Hamilton, Canada","The vegan burger was lacking, just like you'd expect at a good restaurant.",10-10-2022,NEGATIVE,0.9983310103416443
732-5574,"Richmond Hill, Canada","Having live music is great, it is a unique touch.",06-06-2022,POSITIVE,0.9998883008956909
845-9409,"Montreal, Canada","The staff were helpful and courteous, which leaves a lot to be desired.",04-04-2021,NEGATIVE,0.9807111620903015
663-3160,"Markham, Canada","The atmosphere is amazing, it puts a damper on the meal when you dine.",26-05-2021,POSITIVE,0.9997496008872986
151-5540,"Barrie, Canada","Having valet parking is great, it adds a lot of convenience.",16-09-2021,POSITIVE,0.9997803568840027
792-4796,"Hamilton, Canada","The rib-eye steak was impressive, just like you'd expect at a good restaurant.",01-05-2022,POSITIVE,0.9998026490211487
829-9890,"North York, Canada","The staff were welcoming, which puts a damper on the meal.",28-08-2021,POSITIVE,0.9935815334320068
131-2286,"Richmond Hill, Canada","The staff were rude, which leaves a lot to be desired.",06-03-2021,NEGATIVE,0.9997267127037048
980-2636,"Mississauga, Canada","The rib-eye steak was amazing, just like you'd expect at a good restaurant.",19-12-2021,POSITIVE,0.9998396635055542
417-1097,"North York, Canada","A bit disappointed with the ambience, was expecting something more mediocre.",04-08-2022,NEGATIVE,0.9996451139450073
634-5782,"Vancouver, Canada",It's lacking how the restaurant manages to offer a diverse menu.,21-12-2021,NEGATIVE,0.9998101592063904
742-8840,"Vancouver, Canada","The rib-eye steak was mediocre, just like you'd expect at a good restaurant.",04-01-2022,NEGATIVE,0.9862870573997498
755-1964,"Vancouver, Canada",I felt that the menu variety could be more impressive.,06-06-2022,POSITIVE,0.9436776041984558
929-9055,"Calgary, Canada","A bit disappointed with the food quality, was expecting something more lacking.",19-03-2022,NEGATIVE,0.9997168183326721
948-1708,"Barrie, Canada","The atmosphere is excellent, it leaves a lot to be desired when you dine.",23-09-2022,POSITIVE,0.5452030897140503
774-9900,"Barrie, Canada","Having an online reservation system is great, it is a unique touch.",08-06-2022,POSITIVE,0.9998608827590942
755-2726,"Toronto, Canada","I found the service to be impressive, which is something I value.",27-06-2022,POSITIVE,0.9998524188995361
938-3120,"Mississauga, Canada","menu variety was top-notch, I will be coming back again.",23-04-2022,POSITIVE,0.9985097050666809
968-8100,"Markham, Canada","Having live music is great, it is a unique touch.",02-01-2021,POSITIVE,0.9998883008956909
759-2959,"Vancouver, Canada","The vegan burger was lacking, just like you'd expect at a good restaurant.",24-02-2021,NEGATIVE,0.9983310103416443
529-8424,"Montreal, Canada","A bit disappointed with the ambience, was expecting something more amazing.",14-12-2022,NEGATIVE,0.8618274927139282
130-6083,"Richmond Hill, Canada","A bit disappointed with the service, was expecting something more lacking.",21-12-2021,NEGATIVE,0.9997441172599792
222-9019,"Vancouver, Canada","I found the food quality to be lacking, which is something I value.",26-05-2021,NEGATIVE,0.9964776635169983
908-1579,"Richmond Hill, Canada","menu variety was top-notch, I will be coming back again.",08-07-2021,POSITIVE,0.9985097050666809
114-8813,"Richmond Hill, Canada","The service was excellent, really made my day!",06-09-2021,POSITIVE,0.9998667240142822
439-2253,"Hamilton, Canada","The staff were helpful and courteous, which enhances the dining experience.",22-06-2022,POSITIVE,0.9998432397842407
154-6732,"Barrie, Canada","I found the service to be impressive, which is commendable.",26-05-2022,POSITIVE,0.9998486042022705
209-4804,"Toronto, Canada","ambience was top-notch, I would recommend to my friends.",23-04-2021,POSITIVE,0.9998075366020203
500-9516,"Richmond Hill, Canada","The price was lacking, really made my day!",05-04-2021,NEGATIVE,0.998104453086853
683-5629,"Toronto, Canada","A bit disappointed with the food quality, was expecting something more excellent.",18-04-2021,NEGATIVE,0.9840864539146423
150-6944,"Toronto, Canada",I felt that the price could be more mediocre.,31-10-2022,NEGATIVE,0.9994520545005798
949-5330,"Barrie, Canada",It's amazing how the restaurant manages to offer a diverse menu.,23-12-2021,POSITIVE,0.9998838901519775
185-6730,"Mississauga, Canada",It's amazing how the restaurant manages to offer a diverse menu.,31-08-2021,POSITIVE,0.9998838901519775
953-7975,"Toronto, Canada","A bit disappointed with the service, was expecting something more disappointing.",12-03-2022,NEGATIVE,0.9997339844703674
974-1326,"Hamilton, Canada",It's lacking how the restaurant manages to offer a diverse menu.,14-01-2022,NEGATIVE,0.9998101592063904
748-9148,"Richmond Hill, Canada","The staff were indifferent, which leaves a lot to be desired.",24-03-2021,NEGATIVE,0.9997425675392151
375-1226,"North York, Canada","The homemade pasta was mediocre, just like you'd expect at a good restaurant.",05-09-2021,NEGATIVE,0.9833232760429382
583-3075,"Hamilton, Canada","Having outdoor seating is great, it is a unique touch.",15-12-2022,POSITIVE,0.9998788833618164
277-1907,"Richmond Hill, Canada","The atmosphere is amazing, it leaves a lot to be desired when you dine.",07-08-2022,POSITIVE,0.9720150232315063
181-8206,"Toronto, Canada","food quality was top-notch, I will be coming back again.",08-01-2021,POSITIVE,0.9995939135551453
854-3287,"Markham, Canada","I found the service to be mediocre, which is something I value.",25-06-2021,POSITIVE,0.5473962426185608
898-3227,"Hamilton, Canada","The atmosphere is excellent, it enhances the dining experience when you dine.",12-03-2021,POSITIVE,0.9998782873153687
991-6461,"Markham, Canada","The staff were indifferent, which leaves a lot to be desired.",13-12-2022,NEGATIVE,0.9997425675392151
234-7550,"Barrie, Canada",It's impressive how the restaurant manages to keep such high standards.,10-10-2022,POSITIVE,0.9998654127120972
657-8419,"Montreal, Canada","A bit disappointed with the price, was expecting something more disappointing.",09-02-2021,NEGATIVE,0.9996732473373413
546-1505,"Vancouver, Canada",It's lacking how the restaurant manages to keep such high standards.,03-10-2022,NEGATIVE,0.9998077750205994
209-2650,"Montreal, Canada","The homemade pasta was disappointing, just like you'd expect at a good restaurant.",14-10-2022,NEGATIVE,0.998489260673523
808-5539,"Barrie, Canada","The service was disappointing, really made my day!",16-12-2021,NEGATIVE,0.9996739625930786
669-5570,"Richmond Hill, Canada","Having live music is great, it makes me want to come back.",29-06-2021,POSITIVE,0.9996114373207092
101-5432,"Toronto, Canada","The staff were indifferent, which enhances the dining experience.",14-02-2022,POSITIVE,0.9958136677742004
861-6522,"Toronto, Canada","The staff were helpful and courteous, which enhances the dining experience.",18-11-2021,POSITIVE,0.9998432397842407
720-3909,"Markham, Canada","The seafood platter was amazing, just like you'd expect at a good restaurant.",07-05-2021,POSITIVE,0.9998677968978882
836-8618,"Vancouver, Canada","The staff were rude, which puts a damper on the meal.",19-06-2021,NEGATIVE,0.997177004814148
651-9966,"Markham, Canada","Having valet parking is great, it makes me want to come back.",02-07-2021,POSITIVE,0.9977499842643738
922-7160,"Barrie, Canada",I felt that the ambience could be more impressive.,15-06-2022,POSITIVE,0.9942997694015503
302-7618,"Toronto, Canada",I felt that the ambience could be more disappointing.,11-09-2021,NEGATIVE,0.9995262622833252
209-3253,"Calgary, Canada",I felt that the price could be more impressive.,12-11-2021,POSITIVE,0.8864441514015198
346-5834,"North York, Canada","The atmosphere is disappointing, it leaves a lot to be desired when you dine.",15-02-2021,NEGATIVE,0.9997001886367798
622-3990,"North York, Canada","The seafood platter was disappointing, just like you'd expect at a good restaurant.",31-07-2022,NEGATIVE,0.9967160224914551
838-7815,"Mississauga, Canada","The atmosphere is lacking, it puts a damper on the meal when you dine.",05-04-2022,NEGATIVE,0.999017596244812
112-2076,"Mississauga, Canada",I felt that the ambience could be more excellent.,13-01-2021,NEGATIVE,0.8414746522903442
324-4041,"Mississauga, Canada","The atmosphere is impressive, it enhances the dining experience when you dine.",14-07-2022,POSITIVE,0.999876856803894
649-3757,"Mississauga, Canada","The atmosphere is mediocre, it leaves a lot to be desired when you dine.",15-01-2021,NEGATIVE,0.9996678829193115
621-7994,"Mississauga, Canada","The service was disappointing, really made my day!",23-05-2022,NEGATIVE,0.9996739625930786
677-3242,"Toronto, Canada","service was top-notch, I will be coming back again.",03-11-2022,POSITIVE,0.9976142644882202
902-6044,"Vancouver, Canada","Having valet parking is great, it makes me want to come back.",22-11-2022,POSITIVE,0.9977499842643738
431-6167,"Toronto, Canada","Having valet parking is great, it adds a lot of convenience.",26-08-2022,POSITIVE,0.9997803568840027
739-8712,"Hamilton, Canada","A bit disappointed with the service, was expecting something more mediocre.",02-04-2021,NEGATIVE,0.9997335076332092
664-6665,"Markham, Canada","A bit disappointed with the service, was expecting something more impressive.",27-06-2021,NEGATIVE,0.9524822235107422
203-4946,"North York, Canada","The atmosphere is disappointing, it enhances the dining experience when you dine.",25-10-2022,POSITIVE,0.9974265694618225
599-1996,"Richmond Hill, Canada","I found the service to be amazing, which is disappointing to see.",07-04-2021,NEGATIVE,0.9903928637504578
757-2194,"Markham, Canada","The staff were welcoming, which enhances the dining experience.",28-11-2022,POSITIVE,0.9998548030853271
511-2733,"North York, Canada","The vegan burger was impressive, just like you'd expect at a good restaurant.",08-06-2022,POSITIVE,0.9998288154602051
161-2816,"North York, Canada","ambience was top-notch, that deserves praise.",18-08-2021,POSITIVE,0.9997106194496155
732-2479,"Mississauga, Canada",I felt that the menu variety could be more impressive.,10-11-2022,POSITIVE,0.9436776041984558
